state,value
Alabama,442
Alaska,25
Arkansas,183
Arizona,389
California,518
Colorado,6
Connecticut,4
Delaware,0
District of Columbia,0
Florida,427
Georgia,686
Hawaii,0
Iowa,65
Idaho,21
Illinois,6
Indiana,5
Kansas,3
Kentucky,32
Louisiana,34
Maine,53
Maryland,4
Massachusetts,0
Michigan,28
Minnesota,363
Missouri,42
Mississippi,134
Montana,115
North Carolina,24
North Dakota,9
Nebraska,1
New Hampshire,120
New Jersey,60
New Mexico,636
Nevada,642
New York,244
Ohio,12
Oklahoma,1235
Oregon,46
Pennsylvania,166
Rhode Island,44
South Carolina,412
South Dakota,36
Tennessee,444
Texas,499
Utah,13
Virginia,0
Vermont,125
Washington,79
Wisconsin,265
West Virginia,130
Wyoming,13
