state,value
Alabama,3947
Alaska,301
Arkansas,3319
Arizona,2571
California,8271
Colorado,1316
Connecticut,372
Delaware,3
District of Columbia,0
Florida,5115
Georgia,8925
Hawaii,789
Iowa,1888
Idaho,34
Illinois,86
Indiana,442
Kansas,348
Kentucky,1884
Louisiana,3131
Maine,623
Maryland,718
Massachusetts,31
Michigan,534
Minnesota,2507
Missouri,5533
Mississippi,442
Montana,2460
North Carolina,122
North Dakota,1049
Nebraska,111
New Hampshire,1352
New Jersey,1996
New Mexico,6631
Nevada,5059
New York,1061
Ohio,222
Oklahoma,3265
Oregon,3184
Pennsylvania,874
Rhode Island,25
South Carolina,2855
South Dakota,2646
Tennessee,2183
Texas,15022
Utah,1926
Virginia,4
Vermont,1268
Washington,1577
Wisconsin,1026
West Virginia,1658
Wyoming,769
